Type,Dir,Sx,X1,X2,Y2,X3,Y3,BT,UEB,KH,B1,BH,Rr,CE,Notes
s,T,24.000000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,24.500000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,25.000000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,25.500000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,26.000000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,26.500000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,27.000000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,27.500000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,28.000000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,28.500000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,29.000000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,29.500000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,30.000000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,30.500000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,31.000000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,31.500000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,32.000000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,32.500000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,33.000000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,33.500000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,34.000000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,34.500000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,35.000000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,35.500000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,36.000000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,36.500000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,37.000000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,37.500000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,38.000000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,38.500000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,39.000000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,39.500000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,40.000000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,40.500000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,41.000000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,41.500000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,42.000000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,42.500000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,43.000000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
